ModelID,ScenarioID,Temperature,Year,Total electricity generation,Predicted
2.0,531.0,8.0,2050.0,64.9127,64.9127
2.0,533.0,8.0,2050.0,67.82,68.47512994304165
2.0,537.0,8.0,2050.0,68.0215,68.0215
4.0,6.0,1.0,2050.0,60.1381915357665,69.76668636911714
4.0,15.0,1.0,2050.0,60.7665785390785,70.73588608467935
4.0,18.0,1.0,2050.0,61.1898876728073,70.92538760661186
4.0,19.0,1.0,2050.0,58.6971559186033,69.88023010708035
4.0,28.0,1.0,2050.0,60.2747445184522,70.03462861165883
4.0,47.0,1.0,2050.0,61.5659121865855,71.95082187682104
4.0,48.0,2.0,2050.0,60.2356950482399,70.31624596974325
4.0,60.0,2.0,2050.0,59.7571220981699,69.53619767453364
4.0,137.0,2.0,2050.0,57.6215975318829,68.87955333423592
4.0,147.0,2.0,2050.0,59.2573391359911,67.66154369213206
7.0,37.0,1.0,2050.0,61.4670642411225,68.97579146221506
11.0,478.0,7.0,2050.0,58.1036,60.51713906943065
11.0,497.0,7.0,2050.0,58.1036,60.54591533314616
20.0,1.0,1.0,2050.0,81.834,86.40917511534899
20.0,14.0,2.0,2050.0,80.2569,84.89454433809914
20.0,41.0,2.0,2050.0,78.2913,83.84877658774039
20.0,60.0,1.0,2050.0,83.8008,87.54480837392823
20.0,99.0,2.0,2050.0,75.5812,82.62504839966714
20.0,101.0,3.0,2050.0,72.7229,81.22185179154847
20.0,123.0,3.0,2050.0,81.2426,85.93742278185294
20.0,152.0,3.0,2050.0,80.6685,85.27294544909292
20.0,158.0,3.0,2050.0,79.3087,84.47032299886192
20.0,165.0,3.0,2050.0,76.9683,82.64427089470335
20.0,172.0,3.0,2050.0,71.9944,80.1108606917643
20.0,177.0,3.0,2050.0,69.3967,77.8393154519107
20.0,178.0,3.0,2050.0,68.3223,77.06575436466503
20.0,184.0,3.0,2050.0,74.3863,81.54523041355958
20.0,192.0,3.0,2050.0,75.5812,82.62504839966714
20.0,193.0,4.0,2050.0,69.5274,77.97575949063786
20.0,195.0,3.0,2050.0,70.4387,78.4349888279881
20.0,197.0,4.0,2050.0,73.4348,80.65769567235468
20.0,205.0,3.0,2050.0,68.7125,77.29639902960233
20.0,213.0,4.0,2050.0,66.9591,76.02780624328474
20.0,303.0,4.0,2050.0,66.7503,75.56134434750841
20.0,304.0,5.0,2050.0,66.0843,75.20556147241173
20.0,305.0,4.0,2050.0,66.184,75.5137669259453
20.0,308.0,4.0,2050.0,67.8797,76.47270261524183
20.0,314.0,5.0,2050.0,65.6035,75.46707029171182
20.0,320.0,4.0,2050.0,66.6048,75.66144237794694
20.0,324.0,5.0,2050.0,65.6035,75.46707029171182
20.0,343.0,5.0,2050.0,65.376,75.25731898838995
20.0,347.0,5.0,2050.0,65.3155,74.93204813832239
20.0,358.0,5.0,2050.0,65.376,75.25731898838995
20.0,368.0,5.0,2050.0,65.3155,74.93204813832239
20.0,381.0,6.0,2050.0,65.238,73.68327319843424
20.0,384.0,5.0,2050.0,65.6281,75.14103750508892
20.0,462.0,7.0,2050.0,62.6782,63.16422129158298
21.0,360.0,5.0,2050.0,60.586520576,64.87966962786066
21.0,436.0,6.0,2050.0,60.840538112,63.174760338538455
21.0,473.0,7.0,2050.0,58.085040128,60.26989580039432
21.0,538.0,8.0,2050.0,67.389468672,68.17370467209525
25.0,350.0,6.0,2050.0,57.9980392456055,62.675993906902576
25.0,381.0,7.0,2050.0,59.108715057373,63.7337473533686
25.0,462.0,7.0,2050.0,61.8764038085938,63.91745023110031
25.0,493.0,7.0,2050.0,60.8006896972656,62.97609600941577
27.0,135.0,2.0,2050.0,68.5150680541992,73.27981734202024
27.0,359.0,5.0,2050.0,61.957275390625,66.82240955566994
27.0,383.0,6.0,2050.0,59.4471969604492,63.36784585467934
27.0,449.0,7.0,2050.0,59.4292488098145,63.46065356800472
27.0,463.0,7.0,2050.0,61.5827713012695,63.479034523196745
27.0,478.0,7.0,2050.0,61.6068305969238,63.85877418923664
27.0,503.0,7.0,2050.0,62.2329177856445,66.18009418463294
30.0,182.0,3.0,2050.0,58.1219,72.32333340734729
40.0,536.0,8.0,2050.0,66.3455484587994,75.74267954076687
40.0,539.0,8.0,2050.0,69.3987026538765,79.19551196191752
40.0,540.0,8.0,2050.0,63.3934518655697,68.43414424881703
40.0,541.0,8.0,2050.0,64.4723228551499,66.5928916477074
