ModelID,ScenarioID,Temperature,Year,Total electricity generation,Predicted
2.0,531.0,8.0,2050.0,64.9127,68.5316666309175
2.0,533.0,8.0,2050.0,67.82,71.64178620144715
2.0,537.0,8.0,2050.0,68.0215,71.5450957368551
4.0,6.0,1.0,2050.0,60.1381915357665,77.98288278501985
4.0,15.0,1.0,2050.0,60.7665785390785,78.90080718149022
4.0,18.0,1.0,2050.0,61.1898876728073,79.66430406514496
4.0,19.0,1.0,2050.0,58.6971559186033,78.28116513491338
4.0,28.0,1.0,2050.0,60.2747445184522,78.03789737604254
4.0,47.0,1.0,2050.0,61.5659121865855,81.46222109486573
4.0,48.0,2.0,2050.0,60.2356950482399,78.36486582557288
4.0,60.0,2.0,2050.0,59.7571220981699,77.62992109835365
4.0,137.0,2.0,2050.0,57.6215975318829,76.64254829457757
4.0,147.0,2.0,2050.0,59.2573391359911,76.44410723150456
7.0,37.0,1.0,2050.0,61.4670642411225,74.78379621617425
11.0,478.0,7.0,2050.0,58.1036,63.488418872136165
11.0,497.0,7.0,2050.0,58.1036,63.300918920752245
20.0,1.0,1.0,2050.0,81.834,95.1698238669544
20.0,14.0,2.0,2050.0,80.2569,91.92333474475377
20.0,41.0,2.0,2050.0,78.2913,91.2930966912331
20.0,60.0,1.0,2050.0,83.8008,96.65445826994132
20.0,99.0,2.0,2050.0,75.5812,87.68291791067524
20.0,101.0,3.0,2050.0,72.7229,85.27626033637368
20.0,123.0,3.0,2050.0,81.2426,94.59394244203492
20.0,152.0,3.0,2050.0,80.6685,92.29842186885335
20.0,158.0,3.0,2050.0,79.3087,91.67199923281338
20.0,165.0,3.0,2050.0,76.9683,90.46082910375567
20.0,172.0,3.0,2050.0,71.9944,83.4786217179768
20.0,177.0,3.0,2050.0,69.3967,81.07849586783749
20.0,178.0,3.0,2050.0,68.3223,79.83388746531787
20.0,184.0,3.0,2050.0,74.3863,87.52260653237457
20.0,192.0,3.0,2050.0,75.5812,87.68291791067524
20.0,193.0,4.0,2050.0,69.5274,81.8932061710762
20.0,195.0,3.0,2050.0,70.4387,81.51441326857675
20.0,197.0,4.0,2050.0,73.4348,86.08575514499717
20.0,205.0,3.0,2050.0,68.7125,80.60853112565003
20.0,213.0,4.0,2050.0,66.9591,78.60644991899227
20.0,303.0,4.0,2050.0,66.7503,78.33452720494722
20.0,304.0,5.0,2050.0,66.0843,77.90284979078065
20.0,305.0,4.0,2050.0,66.184,78.04889276252274
20.0,308.0,4.0,2050.0,67.8797,79.56437360571373
20.0,314.0,5.0,2050.0,65.6035,77.89712078340615
20.0,320.0,4.0,2050.0,66.6048,78.2531943883126
20.0,324.0,5.0,2050.0,65.6035,77.89712078340615
20.0,343.0,5.0,2050.0,65.376,77.69930396950863
20.0,347.0,5.0,2050.0,65.3155,77.35661898132913
20.0,358.0,5.0,2050.0,65.376,77.69930396950863
20.0,368.0,5.0,2050.0,65.3155,77.35661898132913
20.0,381.0,6.0,2050.0,65.238,76.66337368041286
20.0,384.0,5.0,2050.0,65.6281,77.7105501081791
20.0,462.0,7.0,2050.0,62.6782,67.34975315490675
21.0,360.0,5.0,2050.0,60.586520576,72.3601495201712
21.0,436.0,6.0,2050.0,60.840538112,66.12329655416721
21.0,473.0,7.0,2050.0,58.085040128,62.61592967929873
21.0,538.0,8.0,2050.0,67.389468672,70.92278792848849
25.0,350.0,6.0,2050.0,57.9980392456055,66.83073093210581
25.0,381.0,7.0,2050.0,59.108715057373,67.85991021157173
25.0,462.0,7.0,2050.0,61.8764038085938,67.02198308845752
25.0,493.0,7.0,2050.0,60.8006896972656,67.86364959918693
27.0,135.0,2.0,2050.0,68.5150680541992,77.21787220642511
27.0,359.0,5.0,2050.0,61.957275390625,69.68117161652454
27.0,383.0,6.0,2050.0,59.4471969604492,66.71201376286189
27.0,449.0,7.0,2050.0,59.4292488098145,66.79787621262417
27.0,463.0,7.0,2050.0,61.5827713012695,66.63420279065737
27.0,478.0,7.0,2050.0,61.6068305969238,69.213201638327
27.0,503.0,7.0,2050.0,62.2329177856445,70.90024289655152
30.0,182.0,3.0,2050.0,58.1219,77.12181636748946
40.0,536.0,8.0,2050.0,66.3455484587994,78.64102997575188
40.0,539.0,8.0,2050.0,69.3987026538765,81.8595822655897
40.0,540.0,8.0,2050.0,63.3934518655697,74.19225915989732
40.0,541.0,8.0,2050.0,64.4723228551499,72.00751500541583
