InID,StartX,StartY,TotalGWh,OutID,EndX,EndY,InGWh
3,115.060769429999,38.8907181247,351342,1,116.412638513,40.1856333893,23.16
3,115.060769429999,38.8907181247,351342,2,117.344843354999,39.2847322184999,51.98
4,112.289817279999,37.5727571928999,392616,1,116.412638513,40.1856333893,22058.91
4,112.289817279999,37.5727571928999,392616,3,115.060769429999,38.8907181247,38650.86
4,112.289817279999,37.5727571928999,392616,5,111.619952854999,41.5812773378,270.6
4,112.289817279999,37.5727571928999,392616,11,119.164024213999,31.9327612025999,21742.96
4,112.289817279999,37.5727571928999,392616,17,112.270455892,30.9762417083,4728.15
4,112.289817279999,37.5727571928999,392616,27,108.364896348,33.7699435820999,400.46
5,111.619952854999,41.5812773378,611993,2,117.344843354999,39.2847322184999,6727.1
5,111.619952854999,41.5812773378,611993,3,115.060769429999,38.8907181247,70580.66
5,111.619952854999,41.5812773378,611993,4,112.289817279999,37.5727571928999,5131.63
5,111.619952854999,41.5812773378,611993,6,118.174818834999,36.3604114995999,58393.71
5,111.619952854999,41.5812773378,611993,7,124.049071530999,41.5480041347,47737.38
5,111.619952854999,41.5812773378,611993,8,126.18829535,43.6682125968999,1739.54
5,111.619952854999,41.5812773378,611993,9,128.134974648999,46.9515377760999,10628.83
5,111.619952854999,41.5812773378,611993,11,119.164024213999,31.9327612025999,18591.5
5,111.619952854999,41.5812773378,611993,27,108.364896348,33.7699435820999,2094.08
5,111.619952854999,41.5812773378,611993,30,105.969291112999,37.1885274855999,309.78
6,118.174818834999,36.3604114995999,621032,3,115.060769429999,38.8907181247,967.42
7,124.049071530999,41.5480041347,225758,5,111.619952854999,41.5812773378,320.2
7,124.049071530999,41.5480041347,225758,8,126.18829535,43.6682125968999,54.62
8,126.18829535,43.6682125968999,102575,5,111.619952854999,41.5812773378,13637.58
8,126.18829535,43.6682125968999,102575,7,124.049071530999,41.5480041347,17272.14
8,126.18829535,43.6682125968999,102575,9,128.134974648999,46.9515377760999,47.63
9,128.134974648999,46.9515377760999,120053,5,111.619952854999,41.5812773378,4779.14
9,128.134974648999,46.9515377760999,120053,8,126.18829535,43.6682125968999,15255.06
10,121.43447138,31.0741469343,100306,11,119.164024213999,31.9327612025999,4399.81
10,121.43447138,31.0741469343,100306,12,120.104291966,29.1721269403,4662.36
11,119.164024213999,31.9327612025999,596889,10,121.43447138,31.0741469343,16451.84
11,119.164024213999,31.9327612025999,596889,12,120.104291966,29.1721269403,1493.14
11,119.164024213999,31.9327612025999,596889,13,117.226150071,31.8258675444999,1074.39
12,120.104291966,29.1721269403,422250,10,121.43447138,31.0741469343,15439.71
12,120.104291966,29.1721269403,422250,11,119.164024213999,31.9327612025999,800.24
12,120.104291966,29.1721269403,422250,13,117.226150071,31.8258675444999,102.3
12,120.104291966,29.1721269403,422250,14,117.998612937999,26.0591218974999,624.99
13,117.226150071,31.8258675444999,308339,11,119.164024213999,31.9327612025999,30888.63
13,117.226150071,31.8258675444999,308339,12,120.104291966,29.1721269403,55739.39
14,117.998612937999,26.0591218974999,295080,12,120.104291966,29.1721269403,10060.28
14,117.998612937999,26.0591218974999,295080,19,113.419435139,23.696002222,8.53
15,115.722046472,27.614272053,156327,17,112.270455892,30.9762417083,825.43
15,115.722046472,27.614272053,156327,18,111.70905016,27.6092404774999,23.66
16,113.614604193,33.8825962985999,303908,17,112.270455892,30.9762417083,5205.89
16,113.614604193,33.8825962985999,303908,29,96.0393980949999,35.6707787769,1.71
17,112.270455892,30.9762417083,329237,10,121.43447138,31.0741469343,26462.06
17,112.270455892,30.9762417083,329237,11,119.164024213999,31.9327612025999,12163.53
17,112.270455892,30.9762417083,329237,15,115.722046472,27.614272053,10115.93
17,112.270455892,30.9762417083,329237,16,113.614604193,33.8825962985999,7051.19
17,112.270455892,30.9762417083,329237,18,111.70905016,27.6092404774999,10612.27
17,112.270455892,30.9762417083,329237,19,113.419435139,23.696002222,15302.58
17,112.270455892,30.9762417083,329237,22,107.874469628,30.057174256,8998.39
18,111.70905016,27.6092404774999,174186,15,115.722046472,27.614272053,21.07
18,111.70905016,27.6092404774999,174186,17,112.270455892,30.9762417083,90.3
18,111.70905016,27.6092404774999,174186,19,113.419435139,23.696002222,8851.24
18,111.70905016,27.6092404774999,174186,20,108.788253679999,23.821555131,1442.32
